time (Julian Date),irradiance,uncertainty
2432928.0,1361.5901,0.0076260895
2432929.0,1361.7377,0.0078827072
2432930.0,1361.7024,0.0076017753
2432931.0,1361.9173,0.0078894542
2432932.0,1362.3193,0.010763738
2432933.0,1362.5238,0.013749109
2432934.0,1362.3562,0.014426152
2432935.0,1361.1603,0.01137355
2432936.0,1361.4097,0.013296254
2432937.0,1360.5886,0.013566099
2432938.0,1360.2513,0.011723223
2432939.0,1361.0615,0.012979889
2432940.0,1360.7573,0.011845433
2432941.0,1360.4355,0.010186647
2432942.0,1360.8335,0.0093504417
2432943.0,1361.0937,0.0086909083
2432944.0,1361.4739,0.0079806743
2432945.0,1361.6244,0.007306075
2432946.0,1361.5195,0.0066036913
2432947.0,1361.3662,0.0072093757
2432948.0,1361.5391,0.0084780713
2432949.0,1361.0544,0.0099630658
2432950.0,1360.7401,0.011416339
2432951.0,1360.4034,0.012503788
2432952.0,1360.0315,0.013955407
2432953.0,1359.8782,0.014194581
2432954.0,1360.5192,0.014795518
2432955.0,1360.798,0.013588557
2432956.0,1360.6921,0.011486501
2432957.0,1361.3837,0.011830913
2432958.0,1361.297,0.010724483
2432959.0,1361.8316,0.011965327
2432960.0,1361.9953,0.01265482
2432961.0,1361.7972,0.012985315
2432962.0,1361.7906,0.013119253
2432963.0,1361.8461,0.013422992
2432964.0,1361.7387,0.014505288
2432965.0,1360.8826,0.014674333
2432966.0,1360.8455,0.014095563
2432967.0,1360.5723,0.014340093
2432968.0,1360.6724,0.012654436
2432969.0,1361.1983,0.011013647
2432970.0,1361.2505,0.010399429
2432971.0,1361.6203,0.0097980125
2432972.0,1361.5671,0.0088283224
2432973.0,1362.5084,0.012638945
2432974.0,1361.5851,0.0098276698
2432975.0,1361.2323,0.010028349
2432976.0,1361.0831,0.011184095
2432977.0,1360.7508,0.010865616
2432978.0,1361.0562,0.010904364
2432979.0,1360.8353,0.011554755
2432980.0,1360.8787,0.011765065
2432981.0,1361.2573,0.011441904
2432982.0,1361.3002,0.010756114
2432983.0,1361.4658,0.010285599
2432984.0,1361.6106,0.011791368
2432985.0,1362.0478,0.013377827
2432986.0,1362.2303,0.014296286
2432987.0,1361.8884,0.012778341
